Subfolder,File,Accuracy,Precision (macro),Recall (macro),F1 Score (macro),F1 Score (weighted)
base_model_BPE_de,bigger_number.csv,0.46,0.3493265993265993,0.3340628507295174,0.3248316498316498,0.47274999999999995
base_model_BPE_de,first_alphabetically.csv,0.5183333333333333,0.5211045580311635,0.4723114041921381,0.4333420546913169,0.5592816875664331
base_model_BPE_de,first_alphabetically_consecutive_first_letter.csv,0.49833333333333335,0.42428087986463625,0.2983502538071066,0.3353123329011654,0.5774096921596921
base_model_BPE_de,first_alphabetically_different_first_letter.csv,0.39,0.4909090909090909,0.2015904141906816,0.272772444475702,0.534789012989299
base_model_BPE_de,first_alphabetically_far_first_letter.csv,0.47333333333333333,0.5,0.23779307813398723,0.3107698927868655,0.6198050369179503
base_model_BPE_de,first_alphabetically_same_first_letter.csv,0.48833333333333334,0.40078431372549017,0.38058823529411767,0.36402987861811387,0.5020436507936508
base_model_BPE_de,first_letter.csv,0.06166666666666667,0.049317012542663234,0.08359693336966066,0.05431840243337569,0.04096880906659253
base_model_BPE_de,first_word.csv,0.0,0.0,0.0,0.0,0.0
base_model_BPE_de,last_letter.csv,0.17,0.18542455059834737,0.22723007214067542,0.14368211035280895,0.16684385106767402
base_model_BPE_de,last_word.csv,0.03666666666666667,0.03130801687763713,0.02584488647779787,0.024070113827956423,0.0414626178974005
base_model_BPE_de,less_letters.csv,0.46166666666666667,0.4498483208710482,0.2866214135933387,0.32727090696420047,0.5470438792604125
base_model_BPE_de,less_letters_length_diff_1.csv,0.48,0.46047839506172844,0.45446208112874775,0.41069929344439143,0.473196959086665
base_model_BPE_de,less_letters_length_diff_3plus.csv,0.47,0.45714285714285713,0.22167973191607648,0.28706737945516475,0.6105503676748977
base_model_BPE_de,more_letters.csv,0.49833333333333335,0.5494637937819756,0.42986577816123267,0.42823094189598615,0.5489248885901195
base_model_BPE_de,more_letters_length_diff_1.csv,0.5066666666666667,0.4901909051909052,0.4765379665379666,0.4471333471333471,0.49878392903392904
base_model_BPE_de,more_letters_length_diff_3plus.csv,0.51,0.5070422535211268,0.28950700121474765,0.35667199732683974,0.6514315894373944
base_model_BPE_de,smaller_number.csv,0.59,0.4683244523386619,0.43552397868561277,0.43746511037807656,0.6147738095238094
base_model_BPE_de,word_after.csv,0.09833333333333333,0.04654812520778456,0.060173734590644214,0.04822254195432039,0.08888287638287636
base_model_BPE_de,word_before.csv,0.10833333333333334,0.05308066509674144,0.08094954014320964,0.05895767751611065,0.08401819857528556
base_model_de,bigger_number.csv,0.385,0.2822151224707135,0.25990415335463257,0.2540963030579644,0.401484126984127
base_model_de,first_alphabetically.csv,0.5516666666666666,0.5274123939261554,0.4968992780919386,0.4552130319508966,0.5858524387205502
base_model_de,first_alphabetically_consecutive_first_letter.csv,0.47833333333333333,0.4138673557278208,0.2894487510766581,0.32518559534063407,0.5549933862433862
base_model_de,first_alphabetically_different_first_letter.csv,0.5666666666666667,0.4774774774774775,0.2759283362224539,0.3382799503959822,0.690804740071926
base_model_de,first_alphabetically_far_first_letter.csv,0.61,0.4909090909090909,0.30875860250860254,0.3734675075372526,0.7406456461395966
base_model_de,first_alphabetically_same_first_letter.csv,0.4683333333333333,0.4167449139280125,0.3548904538341158,0.3537391012743125,0.5092182539682539
base_model_de,first_letter.csv,0.07166666666666667,0.041378323068209544,0.08247712781046115,0.04661747267728681,0.04837960005309972
base_model_de,first_word.csv,0.0,0.0,0.0,0.0,0.0
base_model_de,last_letter.csv,0.185,0.1634836620592131,0.231218049488233,0.13111027573907424,0.19865564067588137
base_model_de,last_word.csv,0.03833333333333333,0.02318861867734048,0.029599793133627716,0.020551913972966605,0.03174252136752137
base_model_de,less_letters.csv,0.45666666666666667,0.40365226103862467,0.272096490111196,0.3069870188019578,0.533398750293992
base_model_de,less_letters_length_diff_1.csv,0.4866666666666667,0.4452380952380952,0.4372165532879819,0.4017880800197168,0.4812278759252443
base_model_de,less_letters_length_diff_3plus.csv,0.4633333333333333,0.43795620437956206,0.21719256603327022,0.2797120390450485,0.596862473139176
base_model_de,more_letters.csv,0.5283333333333333,0.5276159785488144,0.43174004685198714,0.43206528728165894,0.5794707818984134
base_model_de,more_letters_length_diff_1.csv,0.5033333333333333,0.5163547237076649,0.468742042271454,0.4535087313162179,0.504553391053391
base_model_de,more_letters_length_diff_3plus.csv,0.53,0.4857142857142857,0.2810721619650191,0.3451347008081475,0.6555223775373359
base_model_de,smaller_number.csv,0.6083333333333333,0.46190476190476193,0.44107142857142856,0.43865646258503393,0.6263174603174603
base_model_de,word_after.csv,0.10333333333333333,0.05703067803340036,0.06231834098213408,0.05445676327236185,0.09330017888572492
base_model_de,word_before.csv,0.10666666666666667,0.045401299720045286,0.07898306908240506,0.0529215153725597,0.07596973701968722
